Series Name,Series Code,Country Name,Country Code,2022 [YR2022],2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998]
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Argentina,ARG,..,568142562825.363,514630046744.607,571450737224.442,583118120294.002,598790850843.677,582376550428.09,594749285413.212,578937574935.696,593858966307.156,579910247223.428,585924294024.785,552738161802.463,501917060966.235,533491913656.279,512690850741.56,470325565798.353,435296589745.339,399898899166.738,366780211148.674,336999433710.193,378202665751.853,395646066535.875,398792535409.293,412766570325.764
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Bolivia,BOL,..,36984185806.4194,34855949753.6257,38193230057.6737,37364958855.9519,35850757819.7381,34407300577.8681,33000198248.3362,31471565371.8699,29842021069.2817,27943010858.0135,26581436430.6683,25266542216.5478,24265185331.7026,23477060510.312,22117185810.8083,21151739156.1698,20183533283.647,19328918095.8879,18554580602.0356,18064782945.5637,17626660706.3223,17334777867.8778,16910689762.1471,16838807348.2396
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Brazil,BRA,..,1829904265254.51,1749105698451.8,1819685405632.83,1797739006514.93,1766235255333.29,1743175328356.73,1802214373741.32,1868465748247.72,1859096723592.52,1804863767940.85,1770842762050.66,1703152284574.41,1583911825584.01,1585907087042.63,1509033948357.92,1422679163956.12,1368460897672.78,1326000607099.75,1253783141526.78,1239640958003.7,1202910543363.1,1186420527155.95,1136549317651.98,1131255747038.65
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Chile,CHL,..,275165008283.959,246412987238.941,262080762440.351,260076767994.429,250097792355.986,246747710111.593,242496649874.236,237388192470.92,233207597703.441,225739004134.721,212649692512.184,200190069229.347,189123237376.132,191261613433.311,184278574391.665,175222662457.306,165226475828.174,156114028604.48,146346491776.997,139745947904.522,135409067462.838,131268803553.652,125051706063.516,125394825678.282
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Uruguay,URY,..,54390979802.7041,52115108173.4899,55513344382.0673,55319478843.3587,55056360541.1392,54174532436.9212,53274304222.136,53077523938.4551,51412384155.7392,49133785850.974,47454751923.1645,45125322733.7231,41858901192.1605,40154929114.1067,37466293678.0781,35165911748.4727,33781356709.0888,31436176409.8546,29938029416.9209,29698869200.2434,32187618155.4394,33474418294.4582,34133164697.5803,34808168940.1149
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Argentina,ARG,..,12402.4907912317,11341.2683655863,12716.2242038544,13105.397163317,13595.0373551081,13360.2118345982,13789.060424772,13567.9484159809,14071.5086831557,13895.6337072986,14200.2698890608,13551.3391940229,12336.8619385237,13246.6348917152,12857.0925770961,11913.9585322637,11141.3106718375,10341.6434058805,9581.96979219468,8895.31964210751,10090.6534434286,10672.7220353121,10880.2062074837,11391.9451576314
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bolivia,BOL,..,3061.7386096362,2920.19744316688,3242.94884340563,3219.20088567555,3135.03164388911,3054.89254678859,2975.64881137847,2882.80689276903,2777.72052916476,2643.69081327625,2556.8302664893,2471.47362991957,2414.12994254411,2376.07808664035,2277.50382352252,2216.54470624917,2152.36196728204,2097.25835078212,2048.55981521756,2029.61794138246,2015.3774770883,2017.39460626351,2003.86130600298,2031.97220347994
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Brazil,BRA,..,8537.93922013226,8204.20272600881,8592.22153753537,8553.87618653936,8470.95078857257,8426.85335245502,8783.22598387817,9183.4707680256,9216.14336043625,9025.32484753836,8935.28805708641,8673.9088122477,8142.77083855301,8231.1102691656,7909.83475750883,7534.55155911426,7325.91235843215,7178.35611584129,6865.18150461494,6868.70416532586,6749.88971898625,6745.8658812468,6551.2345477737,6613.99113295669
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Chile,CHL,..,14115.9601368334,12767.3039138968,13765.118249803,13906.7702234013,13615.5235299929,13644.62293248,13569.9478008231,13421.5380191561,13318.5948942352,13017.0675264205,12382.3791654878,11773.004116836,11234.9679406798,11479.281556043,11171.4194706268,10727.1026309106,10214.7325530973,9746.18304249617,9227.91211620151,8904.53790349696,8722.57532591439,8550.71145431565,8239.87399282938,8361.47115675403
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Uruguay,URY,..,15874.737994987,15197.9589235994,16192.1592149791,16142.0486948682,16088.0020282681,15869.4334752063,15655.936997552,15649.4143397706,15205.4561294398,14574.8583194356,14116.5604505081,13459.5944325023,12517.0300644349,12036.3946428003,11255.698983786,10584.8665912384,10182.2687670662,9486.44061905184,9044.16993794363,8982.1258568483,9751.04906677748,10167.7219698472,10409.7437810614,10668.5721352994
